127.0.0.1 - - [29/Dec/2021:19:39:19 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:20 +0800] "GET /Final_Assignment/login.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:20 +0800] "GET /Final_Assignment/img/name.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:20 +0800] "GET /Final_Assignment/img/password.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:20 +0800] "GET /Final_Assignment/css/index.css HTTP/1.1" 200 157803
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:20 +0800] "GET /Final_Assignment/img/1.jpg HTTP/1.1" 200 85435
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:21 +0800] "GET /Final_Assignment/authValidationCode HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:21 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:29 +0800] "POST /Final_Assignment/authLogin HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:30 +0800] "GET /Final_Assignment/authValidationCode HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:32 +0800] "GET /Final_Assignment/register.jsp HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:33 +0800] "GET /Final_Assignment/login.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:33 +0800] "GET /Final_Assignment/authValidationCode HTTP/1.1" 200 1231
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:49 +0800] "POST /Final_Assignment/authLogin HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:49 +0800] "GET /Final_Assignment/authValidationCode HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:39:52 +0800] "GET /Final_Assignment/register.jsp HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:03 +0800] "POST /Final_Assignment/authRegister HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:03 +0800] "GET /Final_Assignment/authValidationCode HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:14 +0800] "POST /Final_Assignment/authLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:14 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:14 +0800] "GET /Final_Assignment/img/icon.png HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:28 +0800] "GET /Final_Assignment/userGet?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:29 +0800] "GET /Final_Assignment/user_info.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:34 +0800] "GET /Final_Assignment/userList?action=list&searchColumn=&keyword=&pageNum=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:34 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:35 +0800] "GET /Final_Assignment/userList?action=list&searchColumn=&keyword=&pageNum=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:35 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:53 +0800] "GET /Final_Assignment/userList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:53 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:54 +0800] "GET /Final_Assignment/userList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:54 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:54 +0800] "GET /Final_Assignment/userList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2021:19:40:54 +0800] "GET /Final_Assignment/user_list.jsp HTTP/1.1" 200 7253
